timestamp_ms,estado
1750241466596,ON
1750241467309,OFF
1750241472147,ON
1750241472352,OFF
1750241472556,ON
1750241475512,OFF
1750241475716,ON
1750241475935,OFF
1750241478632,ON
1750241480922,OFF
1750241483605,ON
1750241485822,OFF
1750241489582,ON
1750241491283,OFF
1750241493954,ON
1750241495351,OFF
1750241496237,ON
1750241497330,OFF
1750241498360,ON
1750241499851,OFF
1750241501120,ON
1750241502454,OFF
1750241502657,ON
1750241502860,OFF
1750241503477,ON
1750241503996,OFF
1750241504264,ON
1750241504467,OFF
1750241504687,ON
1750241504891,OFF
1750241505097,ON
1750241505414,OFF
1750241506012,ON
1750241506848,OFF
1750241507322,ON
1750241508082,OFF
1750241508334,ON
1750241508570,OFF
1750241508776,ON
1750241508981,OFF
