emg_timestamp_ms;fes_timestamp_ms;estado
1750671776362;1750671776362;ON
1750671776823;1750671776823;OFF
1750671776830;1750671776830;ON
1750671776995;1750671776995;OFF
1750671777046;1750671777046;ON
1750671777097;1750671777097;OFF
1750671777127;1750671777127;ON
1750671777184;1750671777184;OFF
1750671777259;1750671777259;ON
1750671777354;1750671777354;OFF
1750671777408;1750671777408;ON
1750671777430;1750671777430;OFF
1750671777595;1750671777595;ON
1750671777687;1750671777687;OFF
1750671777690;1750671777690;ON
1750671777916;1750671777916;OFF
1750671777961;1750671777961;ON
1750671778000;1750671778000;OFF
1750671778026;1750671778026;ON
1750671778046;1750671778046;OFF
1750671778613;1750671778613;ON
1750671778619;1750671778619;OFF
1750671778623;1750671778623;ON
1750671778625;1750671778625;OFF
1750671778627;1750671778627;ON
1750671778629;1750671778629;OFF
1750671778676;1750671778676;ON
1750671778733;1750671778733;OFF
1750671778971;1750671778971;ON
1750671778989;1750671778989;OFF
1750671778998;1750671778998;ON
1750671779026;1750671779026;OFF
1750671779029;1750671779029;ON
1750671779042;1750671779042;OFF
1750671779300;1750671779300;ON
1750671779346;1750671779346;OFF
1750671779551;1750671779551;ON
1750671779565;1750671779565;OFF
1750671779576;1750671779576;ON
1750671779607;1750671779607;OFF
1750671779694;1750671779694;ON
1750671779748;1750671779748;OFF
1750671779882;1750671779882;ON
1750671779902;1750671779902;OFF
1750671779921;1750671779921;ON
1750671779930;1750671779930;OFF
1750671780051;1750671780051;ON
1750671780069;1750671780069;OFF
1750671780138;1750671780138;ON
1750671780185;1750671780185;OFF
1750671781070;1750671781070;ON
1750671781103;1750671781103;OFF
1750671781140;1750671781140;ON
1750671781173;1750671781173;OFF
1750671781333;1750671781333;ON
1750671781400;1750671781400;OFF
1750671781691;1750671781691;ON
1750671781701;1750671781701;OFF
1750671781707;1750671781707;ON
1750671781707;1750671781707;OFF
1750671781709;1750671781709;ON
1750671781709;1750671781709;OFF
1750671781888;1750671781888;ON
1750671781993;1750671781993;OFF
1750671782224;1750671782224;ON
1750671782241;1750671782241;OFF
1750671782591;1750671782591;ON
1750671782611;1750671782611;OFF
1750671782912;1750671782912;ON
1750671782948;1750671782948;OFF
1750671782952;1750671782952;ON
1750671782986;1750671782986;OFF
1750671783471;1750671783471;ON
1750671783500;1750671783500;OFF
1750671783607;1750671783607;ON
1750671783638;1750671783638;OFF
1750671783949;1750671783949;ON
1750671783953;1750671783953;OFF
1750671784021;1750671784021;ON
1750671784041;1750671784041;OFF
1750671784254;1750671784254;ON
1750671784291;1750671784291;OFF
1750671784331;1750671784331;ON
1750671784356;1750671784356;OFF
1750671784911;1750671784911;ON
1750671784945;1750671784945;OFF
1750671784950;1750671784950;ON
1750671785015;1750671785015;OFF
1750671785045;1750671785045;ON
1750671785118;1750671785118;OFF
1750671785168;1750671785168;ON
1750671785223;1750671785223;OFF
1750671785248;1750671785248;ON
1750671785290;1750671785290;OFF
1750671785413;1750671785413;ON
1750671785504;1750671785504;OFF
1750671785610;1750671785610;ON
1750671785674;1750671785674;OFF
1750671785687;1750671785687;ON
1750671785709;1750671785709;OFF
1750671785781;1750671785781;ON
1750671785835;1750671785835;OFF
1750671785887;1750671785887;ON
1750671786060;1750671786060;OFF
1750671786202;1750671786202;ON
1750671786206;1750671786206;OFF
1750671786250;1750671786250;ON
1750671786315;1750671786315;OFF
1750671786365;1750671786365;ON
1750671786400;1750671786400;OFF
1750671786804;1750671786804;ON
1750671786835;1750671786835;OFF
1750671787040;1750671787040;ON
1750671787060;1750671787060;OFF
1750671787216;1750671787216;ON
1750671787242;1750671787242;OFF
1750671787288;1750671787288;ON
1750671787318;1750671787318;OFF
1750671787347;1750671787347;ON
1750671787361;1750671787361;OFF
1750671787958;1750671787958;ON
1750671787990;1750671787990;OFF
1750671788591;1750671788591;ON
1750671788595;1750671788595;OFF
1750671789519;1750671789519;ON
1750671789560;1750671789560;OFF
1750671789972;1750671789972;ON
1750671790030;1750671790030;OFF
1750671790060;1750671790060;ON
1750671790495;1750671790495;OFF
1750671790531;1750671790531;ON
